time,protocol,node,outcome,terms,beta
time_0,Placebo,Placebo,Placebo_0,(Intercept),0
time_0,Placebo,Placebo,Placebo_0,sexMale,-0.143676253232924
time_0,Placebo,Placebo,Placebo_0,age60-80,-0.00640791535457225
time_0,Placebo,Placebo,Placebo_0,age80-90,0.076253404201645
time_0,Placebo,Placebo,Placebo_0,diabetesdurationgroup1-5 years,-0.0188014748991462
time_0,Placebo,Placebo,Placebo_0,diabetesdurationgroup5-10 years,0.0359461303981563
time_0,Placebo,Placebo,Placebo_0,diabetesdurationgroup10-15 years,-0.027121024801619
time_0,Placebo,Placebo,Placebo_0,diabetesdurationgroup15-20 years,0.0178920489286021
time_0,Placebo,Placebo,Placebo_0,diabetesdurationgroupmore than 20 years,0
time_0,Placebo,Placebo,Placebo_0,ethnicNOT HISPANIC OR LATINO,-0.163279144024805
time_0,Placebo,Placebo,Placebo_0,egfr.baseline,0.00342710740989649
time_0,Placebo,Placebo,Placebo_0,bmi.baseline>30 kg/m2,-0.129720768280218
time_0,Placebo,Placebo,Placebo_0,mineralcorYes,0.0810097203105066
time_0,Placebo,Placebo,Placebo_0,bbYes,-0.0936200079872157
time_0,Placebo,Placebo,Placebo_0,rasiYes,-0.0121514918157595
time_0,Placebo,Placebo,Placebo_0,loopYes,0
time_0,Placebo,Placebo,Placebo_0,ccbYes,-0.0349010523512172
time_0,Placebo,Placebo,Placebo_0,thiazideYes,0.0081427481258178
time_0,Placebo,Placebo,Placebo_0,sasidYes,-0.779649157098083
time_0,Placebo,Placebo,Placebo_0,statinYes,-0.087289382269778
time_0,Placebo,Placebo,Placebo_0,hypertensionYes,-0.0225066040124012
time_0,Placebo,Placebo,Placebo_0,diabetic.nephropathyYes,0
time_0,Placebo,Placebo,Placebo_0,stenosisYes,0
time_0,Placebo,Placebo,Placebo_0,disorders.of.rhythm.or.conductionYes,-0.00997363486985429
time_0,Placebo,Placebo,Placebo_0,left.ventricular.systolic.dysfunctionYes,-0.0103608793346265
time_0,Placebo,Placebo,Placebo_0,gallstone.diseaseYes,0.137631252443794
time_0,Placebo,Placebo,Placebo_0,pancreatitisYes,0
time_0,Placebo,Placebo,Placebo_0,diabetic.foot.ulcerYes,-0.162617988144956
time_0,Placebo,Placebo,Placebo_0,diabetic.neuropathyYes,0.031676939758827
time_0,Placebo,Placebo,Placebo_0,transient.ischaemic.attackYes,-0.0282241990914791
